team,unspsc
Consumables,Manufacturing support services
Consumables,Marketing and distribution
Consumables,Market research
Consumables,Marketing analysis
Consumables,Distributive or service trade statistics
Consumables,Commodity price forecasting
Consumables,Preparation of commodity market surveys
Consumables,Marketing plans
Consumables,Internet based market research
Consumables,Consumer based research or clinics or focus groups
Consumables,Syndicated or proprietary forecast studies
Consumables,Market intelligence or competitive analysis
Consumables,Market research telephone surveys
Consumables,Market research paper surveys
Consumables,Market research on location surveys
Consumables,Market research one on one interviews
Consumables,Market research mail surveys
Consumables,Sales and business promotion activities
Consumables,Sales promotion services
Consumables,Telemarketing
Consumables,Branding of product naming services
Consumables,Promotional merchandise
Consumables,Direct marketing fulfillment
Consumables,Events management
Consumables,Sponsorship of event or celebrity
Consumables,Close outs
Consumables,Product or gift personalization services
Consumables,Sales or marketing programs
Consumables,After sales programs
Consumables,Demo or rental or used vehicle
Consumables,Point of sale materials not including printed materials
Consumables,In dealership strategic initiatives training
Consumables,Sales marketing agencies including print
Consumables,Customer relationship center CRC management services
Consumables,In dealership strategic initiatives support
Consumables,Motorsport
Consumables,Letter shop services
Consumables,Merchandising service
Consumables,Recognition program management service
Consumables,Incentive program management service
Consumables,Promotional program management service
Consumables,Cooperative or shared advertising management service
Consumables,Commissioned distributor service
Consumables,Rebate management service
Consumables,Direct marketing print service
Consumables,Distribution
Consumables,Direct sales services
Consumables,Wholesale distribution services
Consumables,Retail distribution services
Consumables,Franchise operations
Consumables,Auction services
Consumables,Product brokerage service
Consumables,Mailing services
Consumables,Mailing list compilation services
Consumables,Mailing list management service
Consumables,Addressing service
Consumables,Trade shows and exhibits
Consumables,Auto shows or other exhibits
Consumables,Meetings events
Consumables,Talent or entertainment
Consumables,Trade information services
Consumables,Advertising
Consumables,Print advertising
Consumables,Billboard advertising
Consumables,Poster advertising
Consumables,Magazine advertising
Consumables,Newspaper advertising
Consumables,Handbill or coupon advertising
Consumables,Transit advertising services
Consumables,Shopping news or advertising or distribution service
Consumables,Trade or service directory or yellow page advertising
Consumables,Broadcast advertising
Consumables,Radio advertising
Consumables,Television advertising
Consumables,Internet advertising
Consumables,Cinema advertising
Consumables,Television commercials production service
Consumables,Radio commercial production service
Consumables,Advertising agency services
Consumables,Advertising campaign services
Consumables,Advertising production service
Consumables,Press release services
Consumables,Stationery or business form printing
Consumables,Assembly services
Consumables,Human resources services
Consumables,Temporary personnel services
Consumables,Temporary medical staffing needs
Consumables,Professional engineering services
Consumables,Mechanical engineering
Consumables,Electrical and electronic engineering
Consumables,Chemical engineering
Consumables,Cleaning and janitorial services
Consumables,Management support services
Consumables,Office administration or secretarial services
Consumables,Document destruction services
Consumables,Mfg technology research and development services
Consumables,Legal services
Consumables,Clerical services
Consumables,Data archiving services
Consumables,Written translation services
Consumables,Product research and development service
Consumables,Engineering testing services
Consumables,Laboratory and scientific equipment
Consumables,Patient care and treatment products and supplies
Consumables,Mobile medical services first aid kits
Consumables,Patient exam and monitoring products
Consumables,Bandages and dressings and related products
Consumables,Health administration services
Consumables,Individual health screening and assessment services
Consumables,Personnel relocation
Consumables,Scheduled bus services
Consumables,Taxicab services
Consumables,Cafeteria services
Consumables,Vouchers
Consumables,Payroll accounting services
Consumables,Fleet management services
Consumables,Business and corporate management consultation services
Consumables,Corporate mergers consultation services
Consumables,Corporate divestiture consultation services
Consumables,Strategic planning consultation services
Consumables,Corporate objectives or policy development
Consumables,Information technology consultation services
Consumables,Business intelligence consulting services
Consumables,Government affairs and community relations consultation service
Consumables,Process and procedures management consultation service
Consumables,Audit services
Consumables,Personnel recruitment
Consumables,In service training and manpower development
Consumables,Management education and training services
Consumables,"Training planning, facilitation and delivery services"
Consumables,Security and personal safety
Consumables,Guard services
Consumables,Security systems services
Consumables,Surveillance or alarm maintenance or monitoring
Consumables,Fire alarm maintenance or monitoring
Consumables,Final or sub-assembly service
Consumables,Printer or facsimile toner
Consumables,Office supplies
Consumables,Mailing supplies
Consumables,Mailer tubes
Consumables,Window envelopes
Consumables,Specialty envelopes
Consumables,Standard envelopes
Consumables,Catalog or clasp envelopes
Consumables,Mailing boxes
Consumables,Postage stamp
Consumables,Desk supplies
Consumables,Tape dispensers
Consumables,Paper cutters or refills
Consumables,Staple removers
Consumables,Staplers
Consumables,Scissors
Consumables,Manual pencil sharpener
Consumables,Finger stalls
Consumables,Desk pads or its accessories
Consumables,Moisteners
Consumables,Electric pencil sharpener
Consumables,Writing instruments
Consumables,Rollerball pens
Consumables,Pen or pencil sets
Consumables,Fountain pens
Consumables,Ball point pens
Consumables,Mechanical pencils
Consumables,Wooden pencils
Consumables,Colored pencils
Consumables,Markers
Consumables,Felt pen
Consumables,Highlighters
Consumables,Correction media
Consumables,Correction film or tape
Consumables,Correction fluid
Consumables,Erasers
Consumables,Correction pens
Consumables,Correction pen refills
Consumables,Ink and lead refills
Consumables,Lead refills
Consumables,Ink refills
Consumables,Fountain pen ink refill
Consumables,Ballpoint pen ink refill
Consumables,Folders and binders and indexes
Consumables,Index card files
Consumables,Sheet protectors
Consumables,Binders
Consumables,Magazine or book covers
Consumables,Tab indexes
Consumables,Rotary or business card files
Consumables,Dividers
Consumables,Folders
Consumables,Clipboards
Consumables,Report covers
Consumables,Sheet lifters
Consumables,Document holder
Consumables,Hanging folders or accessories
Consumables,File inserts or tabs
Consumables,File pockets or accessories
Consumables,Binder pockets or accessories
Consumables,Expandable file folders
Consumables,Side rails for hanging folder frame
Consumables,Accordion file folder
Consumables,Book page separator
Consumables,Box file
Consumables,Ring binder
Consumables,Fastening supplies
Consumables,Rubber bands
Consumables,Clasp fasteners
Consumables,Paper clips
Consumables,Pins or tacks
Consumables,Staples
Consumables,Hole reinforcements
Consumables,Round head fasteners
Consumables,Adhesive corners
Consumables,Book rings
Consumables,Wall or board clips
Consumables,Magnetic thumbtack
Consumables,Commercial airplane travel
Consumables,Chartered airplane travel
Consumables,Hotels and motels and inns
Consumables,Vehicle rental
Consumables,Travel agencies
Consumables,Credit card service providers
Consumables,Corporate finance
Consumables,Workmen's insurance
Consumables,Direct sales services
Facility Management,Air compressor
Facility Management,Food preparation equipment
Facility Management,Commercial and industrial furniture
Facility Management,Workstations and office packages
Facility Management,Panel systems
Facility Management,Industrial furniture
Facility Management,Computer support furniture
Facility Management,Seating
Facility Management,Desking systems
Facility Management,New industrial building and warehouse construction services
Facility Management,Commercial and office building construction services
Facility Management,Industrial plant construction services
Facility Management,Land preparation services
Facility Management,Specialized trade construction and maintenance services
Facility Management,Boiler and furnace construction and maintenance services
Facility Management,Plumbing construction services
Facility Management,Heating and cooling and air conditioning HVAC installation and maintenance services
Facility Management,Painting and paper hanging services
Facility Management,Electrical system services
Facility Management,Specialized communication system services
Facility Management,Safety and security system installation services
Facility Management,Masonry and stonework services
Facility Management,Plastering and drywall services
Facility Management,Acoustical and insulation services
Facility Management,Terrazzo tile and marble and mosaic services
Facility Management,Carpentry services
Facility Management,Window and door installation and erection services
Facility Management,Floor laying services
Facility Management,Roofing and siding and sheet metal services
Facility Management,Concrete installation and repair services
Facility Management,Water well drilling services
Facility Management,Structural steel erection services
Facility Management,Glass and glazing services
Facility Management,Athletic and recreational facility construction services
Facility Management,Coating and caulking and weather water and fireproofing services
Facility Management,Rigging and scaffolding services
Facility Management,Interior finishing and furnishing and remodeling services
Facility Management,Parking facility construction and equipment installation and maintenance and repair services
Facility Management,Building site preparation services
Facility Management,Distribution and conditioning system equipment maintenance and repair services
Facility Management,Pipefitting fabrication and maintenance services
Facility Management,Architectural engineering
Facility Management,Building construction management
Facility Management,Industrial electric power distribution
Facility Management,Hoists
Facility Management,Overhead crane
Facility Management,Air compressor parts
Facility Management,Building and facility maintenance and repair services
Facility Management,Building maintenance and repair services
Facility Management,Facility maintenance and repair services
Facility Management,Landscaping services
Facility Management,Snow removal services
Facility Management,Infrastructure maintenance and repair services
Facility Management,Parking lot or road maintenance or repairs or services
Facility Management,Telecom equipment maintenance or support
Facility Management,Parking lot or road sweeping services
Facility Management,Air compressor rental and maintenance service
Facility Management,Facilities management
Facility Management,Housekeeping services
Facility Management,Cleaning and janitorial services
Facility Management,Security and personal safety
Facility Management,Security systems services
Facility Management,Fire alarm maintenance or monitoring
Facility Management,Material handling machinery and equipment
Facility Management,Pallet trucks
Facility Management,Electric tow tractor
Facility Management,Lifting equipment and accessories
Facility Management,Forklifts
